Tag,count
' Deluxe Garden Room ',44
' Superior Two Bedroom Apartment ',44
' Double or Twin Room with Bathroom ',44
' Queen Superior Room ',43
' Executive Club Twin Room ',43
' Superior Room with a shower or a bath ',43
' Standard Double Room Disability Access ',43
' Stayed 15 nights '],42
' Superior Premium Queen Room ',42
' Double Room Lady Soul ',42
' Deluxe Queen Room with Balcony ',42
' Junior Suite with River View and Balcony ',42
' Duplex Suite with Spa Access ',42
' Superior Twin Double Room ',42
' Duplex ',42
' Studio Twin ',42
' Special Offer Princess Relax ',42
' Attach Suite ',42
' Superior Double Room with View Non Smoking ',42
' Deluxe Double Room with Gallery View ',42
' Comfort Double Room Courtyard Side ',41
' Queen Room Disability Access Non Smoking ',41
' Privilege Double or Twin Room ',41
' Exclusive Suite ',41
' Executive Room with queen size bed and double sofa bed 2 adults 2 children ',41
' Classic Room with 1 Queen bed ',41
' Deluxe Double plus Single Bed ',41
' Two Adjoining Superior Suite ',40
' Privilege Double Room with Eiffel Tower View ',40
' Luxury Twin Room ',40
' Luxury 1 Bed Suite ',40
' Standard Room with 1 Double Bed and 1 Double Sofa bed ',40
' Canal View Superior Deluxe Room with Spa Bath ',40
' Executive King Room with Executive Lounge Access ',40
' Duplex Twin Room ',39
' Deluxe Double Room with Balcony ',39
' Classic Room with 2 double beds 2 Adults ',39
' Junior Suite with Lounge Access ',39
' Twin Room with Private Bathroom ',39
' One Bedroom Suite with Kitchenette ',39
' Superior Double Room with Sofa Bed ',39
' Double Executive Room with Lounge Access ',38
' King Suite ',38
' 4 rooms ',38
' Intuition Room ',38
' King Accessible Superior Room ',38
' Single Room with Shared Bathroom ',38
' Family Room with King Bed and Sofa Bed ',38
' Studio 2 Adults ',38
' Twin Hilton Deluxe ',38
' Double Room Disability Access Non Smoking ',38
' Cosy Room ',37
' Stayed 16 nights ',37
' Loft Suite ',37
' Suite with Balcony ',37
' Superior Queen Room with Pool Access ',37
' Executive Double or Twin Room La Ravissante ',37
' Double Room Marquise ',37
' Superior Double Room with Free Pool Access ',37
' Budget Double Room Second Floor ',37
' Executive Double or Twin Room with Harbour View ',37
' Camper Suite ',37
' Standard Duplex Room 1 2 Adults ',37
' Grand Deluxe Double Room ',36
' Deluxe L Double Room ',36
' Grand Suite ',36
' Standard Room with Queen Bed and Sofa ',36
' Standard Compact Double Room ',36
' Superior Suite ',36
' Family Apartment ',36
' Executive Double Room with Double Bed and Sofa Bed ',36
' Park Deluxe King ',36
' Privilege Room with King bed ',36
' Standard Quad Room ',36
' penta Plus Room ',36
' Junior Suite with Extra Bed ',36
' Paseo de Gracia Double or Twin Room ',36
' Executive Double Room Eiffel Studio D Artiste with view of Paris ',35
' Queensgate Double Room ',35
' Couple '],35
' Business Room ',35
' Spring Package Deluxe Double or Twin Room ',35
' Superior Double Room La S duisante ',35
' Budget Double Room ',35
' Comfort Double or Twin Room for Single Use ',35
' Standard Double Room with Sea View ',35
' Superior Double or Twin Room with Extra Bed ',35
' Small Double Room Canal View ',35
' Twin Room with City View 1 2 Adults ',35
' Apartment for 3 to 4 People with Kitchenette ',34
' Executive Room with Two Double Beds ',34
' Twin Room with Courtyard View ',34
' Corner Double Room ',34
' Junior Suite with Executive Lounge Access ',34
' Premium Double or Twin Room with View ',34
' Luxury Suite with whirlpool ',34
' Deluxe Double or Twin Room with Sea View ',34
' Superior Room with 1 Queensize Bed Canal view ',34
' Grand Deluxe Room ',34
' Executive King Room with Panoramic View ',34
' Premium King Room ',33
' Double Double Room ',33
' Garden Room ',33
' Superior Queen Room 2 adults ',33
' Deluxe Double Room without Window ',33
' Standard room with 1 queen bed and sofa ',33
